Original row	Golub	Expected score (dExp)	 Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change(Unlogged)	ALL1	ALL2	ALL3	ALL4	ALL5	ALL6	ALL7	ALL8	ALL9	ALL10	ALL11	ALL12	ALL13	ALL14	ALL15	ALL16	ALL17	ALL18	ALL19	ALL20	ALL21	ALL22	ALL23	ALL24	ALL25	ALL26	ALL27	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11
5954	Gene5954	0.83543736	4.662265	951.0909	203.9976	Infinity	-17.0	-17.0	27.0	-51.0	-76.0	-12.0	-58.0	-121.0	-71.0	-56.0	1.0	-31.0	49.0	1.0	-96.0	-119.0	-71.0	-48.0	234.0	266.0	39.0	-133.0	-81.0	-91.0	435.0	-119.0	-162.0	1353.0	1971.0	176.0	-14.0	-18.0	2982.0	33.0	1048.0	-29.0	1824.0	982.0
6561	Gene6561	1.2249612	4.66513	557.0875	119.415215	NaN	1057.0	785.0	1147.0	1210.0	594.0	1219.0	1290.0	1394.0	1247.0	798.0	885.0	925.0	800.0	801.0	678.0	933.0	1582.0	825.0	747.0	853.0	359.0	754.0	1090.0	909.0	842.0	701.0	1176.0	1474.0	716.0	1403.0	1467.0	1833.0	1836.0	1845.0	1122.0	2165.0	1424.0	1273.0
5637	Gene5637	0.6859513	4.6888328	1329.0774	283.45593	NaN	1524.0	1980.0	2311.0	2408.0	1671.0	2562.0	2387.0	1271.0	3298.0	2396.0	1589.0	1122.0	1947.0	1641.0	1525.0	1551.0	2602.0	1397.0	1536.0	2503.0	755.0	680.0	1922.0	1418.0	1429.0	1142.0	1297.0	2627.0	1113.0	4732.0	3463.0	3559.0	3069.0	3984.0	2219.0	4460.0	2493.0	2401.0
5808	Gene5808	0.76247364	4.712321	907.03705	192.48203	Infinity	31.0	7.0	151.0	173.0	36.0	80.0	77.0	101.0	182.0	68.0	-6.0	135.0	103.0	39.0	43.0	36.0	345.0	74.0	47.0	37.0	76.0	363.0	89.0	169.0	81.0	37.0	125.0	510.0	69.0	2498.0	264.0	1407.0	1293.0	83.0	218.0	1884.0	2576.0	275.0
173	Gene173	-1.6618254	4.731354	678.4545	143.39542	Infinity	-208.0	334.0	-386.0	366.0	408.0	200.0	381.0	-215.0	-322.0	36.0	-163.0	448.0	-102.0	153.0	195.0	9.0	192.0	-182.0	-114.0	-52.0	-131.0	172.0	186.0	177.0	209.0	-156.0	-517.0	319.0	259.0	2131.0	676.0	264.0	507.0	908.0	228.0	1087.0	1174.0	284.0
2394	Gene2394	-0.39760625	4.797976	1402.1986	292.24796	NaN	1275.0	1876.0	864.0	917.0	1333.0	946.0	1159.0	2985.0	1749.0	1193.0	506.0	455.0	965.0	2125.0	1312.0	1270.0	1747.0	742.0	1562.0	3383.0	822.0	596.0	512.0	1044.0	1563.0	1253.0	1569.0	2292.0	1354.0	2445.0	1569.0	1942.0	4832.0	3670.0	3623.0	2939.0	2613.0	2699.0
6185	Gene6185	0.96185565	4.8081007	2749.5186	571.85126	NaN	196.0	2120.0	967.0	173.0	802.0	1984.0	221.0	130.0	1709.0	414.0	272.0	-99.0	660.0	2327.0	983.0	248.0	4348.0	549.0	-12.0	17.0	26.0	37.0	319.0	288.0	-28.0	209.0	-433.0	1316.0	1964.0	7616.0	4036.0	3776.0	2892.0	2506.0	1221.0	7884.0	4401.0	140.0
6919	Gene6919	1.6584153	4.8141704	801.7407	166.53767	Infinity	174.0	309.0	226.0	151.0	672.0	353.0	114.0	122.0	48.0	282.0	215.0	135.0	111.0	236.0	159.0	281.0	811.0	124.0	130.0	194.0	34.0	139.0	22.0	292.0	132.0	217.0	75.0	226.0	1561.0	989.0	1004.0	454.0	959.0	714.0	423.0	2776.0	1897.0	162.0
2275	Gene2275	-0.4368835	4.825625	974.50507	201.9438	NaN	753.0	1202.0	555.0	1484.0	897.0	810.0	1088.0	623.0	468.0	409.0	1508.0	793.0	454.0	642.0	671.0	481.0	631.0	978.0	202.0	422.0	364.0	1085.0	668.0	801.0	537.0	754.0	571.0	1701.0	591.0	2087.0	1330.0	749.0	2398.0	1342.0	815.0	3568.0	2465.0	1761.0
4229	Gene4229	0.17546262	4.828595	1164.7037	241.20964	Infinity	-267.0	421.0	-1046.0	5.0	484.0	-743.0	-189.0	-247.0	-548.0	-408.0	-504.0	-159.0	495.0	-298.0	818.0	-311.0	400.0	-445.0	-267.0	233.0	-233.0	-370.0	-896.0	604.0	-138.0	64.0	-1118.0	225.0	1359.0	2147.0	651.0	595.0	865.0	953.0	31.0	2910.0	1500.0	-324.0
5122	Gene5122	0.47970134	4.8682055	1533.239	314.94952	NaN	1986.0	1875.0	2582.0	1669.0	1249.0	1717.0	2202.0	2418.0	2140.0	1502.0	1608.0	1097.0	905.0	1831.0	1120.0	921.0	1911.0	971.0	1363.0	1396.0	854.0	1411.0	1506.0	1377.0	1697.0	995.0	1813.0	2376.0	1467.0	3227.0	6516.0	2182.0	2868.0	1748.0	2108.0	4437.0	3572.0	3523.0
922	Gene922	-0.9806672	4.8747387	1260.1986	258.51614	NaN	223.0	1074.0	148.0	-53.0	353.0	421.0	102.0	28.0	272.0	367.0	88.0	426.0	220.0	213.0	130.0	30.0	323.0	-38.0	102.0	1070.0	199.0	-171.0	117.0	-132.0	395.0	290.0	-39.0	2972.0	1017.0	3369.0	230.0	861.0	2236.0	80.0	149.0	2670.0	2327.0	460.0
4377	Gene4377	0.22322741	4.938002	2005.6431	406.1649	NaN	631.0	739.0	106.0	352.0	2028.0	17.0	245.0	281.0	621.0	381.0	373.0	626.0	712.0	800.0	704.0	537.0	648.0	345.0	364.0	1029.0	748.0	549.0	85.0	773.0	245.0	814.0	384.0	1121.0	1755.0	7589.0	1888.0	1696.0	2519.0	1907.0	743.0	4797.0	3199.0	1015.0
6677	Gene6677	1.3306245	4.9403896	393.5623	79.66219	Infinity	424.0	368.0	717.0	537.0	170.0	577.0	586.0	589.0	724.0	379.0	415.0	201.0	191.0	283.0	172.0	450.0	790.0	432.0	252.0	478.0	423.0	346.0	463.0	576.0	542.0	534.0	506.0	590.0	1454.0	773.0	732.0	704.0	1012.0	969.0	428.0	967.0	882.0	758.0
6405	Gene6405	1.1028508	4.941467	523.90234	106.02163	Infinity	54.0	209.0	128.0	109.0	34.0	122.0	35.0	47.0	142.0	78.0	108.0	11.0	4.0	108.0	-46.0	58.0	171.0	62.0	237.0	230.0	61.0	27.0	53.0	11.0	183.0	-95.0	137.0	309.0	444.0	861.0	1361.0	35.0	253.0	91.0	341.0	1600.0	737.0	659.0
6005	Gene6005	0.8616057	4.971391	869.47473	174.89566	NaN	398.0	908.0	906.0	763.0	201.0	620.0	672.0	1478.0	1184.0	1142.0	615.0	889.0	875.0	453.0	751.0	192.0	852.0	59.0	520.0	524.0	884.0	741.0	351.0	712.0	272.0	278.0	388.0	626.0	717.0	2450.0	1636.0	1206.0	1835.0	1118.0	1108.0	2892.0	1271.0	1887.0
6378	Gene6378	1.0840362	4.9939165	1321.2491	264.57175	Infinity	-231.0	322.0	-452.0	-297.0	302.0	-10.0	-194.0	-320.0	-57.0	19.0	-233.0	-122.0	-184.0	694.0	-199.0	-42.0	-91.0	-106.0	-139.0	-118.0	-131.0	-231.0	-226.0	-133.0	-195.0	-142.0	-311.0	1696.0	827.0	1036.0	-124.0	522.0	2182.0	-23.0	302.0	3890.0	2921.0	153.0
6041	Gene6041	0.8807704	5.10898	1992.3972	389.97943	NaN	1284.0	540.0	236.0	786.0	968.0	368.0	344.0	-196.0	310.0	260.0	210.0	146.0	825.0	513.0	440.0	94.0	3755.0	173.0	265.0	897.0	347.0	258.0	311.0	593.0	104.0	741.0	-15.0	1355.0	2219.0	4607.0	1017.0	2212.0	4198.0	1192.0	1243.0	5814.0	2930.0	1060.0
